,Job Vacancies ;  New South Wales ;,Job Vacancies ;  Victoria ;,Job Vacancies ;  Queensland ;,Job Vacancies ;  South Australia ;,Job Vacancies ;  Western Australia ;,Job Vacancies ;  Tasmania ;,Job Vacancies ;  Northern Territory ;,Job Vacancies ;  Australian Capital Territory ;,Job Vacancies ;  Australia ;,Job Vacancies ;  Australia ;,Job Vacancies ;  Australia ;,Standard Error of Job Vacancies ;  New South Wales ;,Standard Error of Job Vacancies ;  Victoria ;,Standard Error of Job Vacancies ;  Queensland ;,Standard Error of Job Vacancies ;  South Australia ;,Standard Error of Job Vacancies ;  Western Australia ;,Standard Error of Job Vacancies ;  Tasmania ;,Standard Error of Job Vacancies ;  Northern Territory ;,Standard Error of Job Vacancies ;  Australian Capital Territory ;,Standard Error of Job Vacancies ;  Australia ;
Unit,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Seasonally Adjusted,Trend,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO
Frequency,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter
Collection Month,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Series Start,Nov-1983,Nov-1983,Nov-1983,Nov-1983,Nov-1983,Nov-1983,Nov-1983,Nov-1983,May-1979,May-1979,May-1979,Nov-1983,Nov-1983,Nov-1983,Nov-1983,Nov-1983,Nov-1983,Nov-1983,Nov-1983,May-1979
Series End,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021
No. Obs,150,150,150,150,150,150,150,150,168,168,168,150,150,150,150,150,150,150,150,168
Series ID,A590714V,A590732X,A590750C,A590768A,A590786F,A590804X,A590822C,A590840J,A590696A,A590698F,A590700F,A590715W,A590733A,A590751F,A590769C,A590787J,A590805A,A590823F,A590841K,A590697C
May-1979,,,,,,,,,40.9,43.5,,,,,,,,,,
Aug-1979,,,,,,,,,39.6,41.9,,,,,,,,,,
Nov-1979,,,,,,,,,40.0,38.4,,,,,,,,,,
Feb-1980,,,,,,,,,43.2,40.6,,,,,,,,,,
May-1980,,,,,,,,,34.8,36.7,,,,,,,,,,
Aug-1980,,,,,,,,,35.2,37.5,,,,,,,,,,
Nov-1980,,,,,,,,,40.6,38.7,,,,,,,,,,
Feb-1981,,,,,,,,,39.9,37.4,,,,,,,,,,
May-1981,,,,,,,,,42.2,44.0,,,,,,,,,,
Aug-1981,,,,,,,,,41.0,44.5,,,,,,,,,,
Nov-1981,,,,,,,,,43.6,41.7,,,,,,,,,,
Feb-1982,,,,,,,,,39.9,37.3,,,,,,,,,,
May-1982,,,,,,,,,29.3,30.3,,,,,,,,,,
Aug-1982,,,,,,,,,24.8,26.8,,,,,,,,,,
Nov-1982,,,,,,,,,31.2,30.3,,,,,,,,,,
Feb-1983,,,,,,,,,32.0,29.7,,,,,,,,,,
May-1983,,,,,,,,,31.8,32.4,,,,,,,,,,
Aug-1983,,,,,,,,,31.1,33.6,,,,,,,,,,
Nov-1983,13.6,7.6,5.0,2.6,4.3,0.9,0.5,1.4,36.0,36.3,,,,,,,,,,
Feb-1984,24.6,12.4,5.4,4.2,0.0,0.6,0.5,1.4,49.1,44.6,,,,,,,,,,
May-1984,18.1,10.9,5.0,2.9,0.4,0.4,0.7,1.7,40.1,40.3,,,,,,,,,,
Aug-1984,21.3,9.5,5.0,3.3,3.5,0.9,0.7,1.3,45.3,48.5,,,,,,,,,,
Nov-1984,17.6,13.8,5.2,2.7,5.0,0.8,0.9,1.5,47.7,49.8,,3.7,2.3,1.0,0.5,1.2,0.1,0.2,0.2,4.7
Feb-1985,23.5,17.8,8.1,4.9,6.8,1.3,1.6,2.7,66.7,60.4,,3.1,2.7,1.9,1.4,2.2,0.2,0.3,0.4,5.2
May-1985,27.5,20.7,5.8,4.5,5.1,1.4,1.4,2.9,69.2,68.6,,4.1,3.1,1.0,1.2,1.3,0.2,0.3,0.4,5.5
Aug-1985,18.9,21.5,8.6,4.6,5.7,1.1,0.9,2.2,63.4,67.2,,2.0,2.7,2.0,0.8,,0.2,0.2,0.3,4.5
Nov-1985,20.7,18.5,8.6,5.0,4.8,1.1,1.1,2.5,62.3,66.2,,2.1,2.6,1.4,0.9,1.1,0.1,0.3,0.2,3.9
Feb-1986,26.5,20.9,10.0,4.0,4.8,2.0,1.1,2.7,71.9,64.8,,4.2,2.9,2.2,0.7,0.8,0.2,0.2,0.3,5.7
May-1986,25.3,20.8,5.8,3.1,5.1,1.6,1.3,3.0,65.8,66.1,,3.0,3.1,1.2,0.6,1.0,0.2,0.3,0.3,4.6
Aug-1986,21.8,15.8,5.4,5.4,5.7,0.9,0.9,2.7,58.6,61.1,,2.1,2.5,1.3,1.4,1.4,0.2,0.2,0.3,4.0
Nov-1986,26.0,15.6,6.6,4.3,5.2,1.3,1.3,2.2,62.6,66.3,,3.6,2.3,1.4,0.8,1.2,0.3,0.4,0.2,4.7
Feb-1987,29.8,22.2,7.2,5.2,7.3,1.8,0.8,2.3,76.5,69.5,,3.7,3.4,1.5,1.0,1.6,0.5,0.2,0.2,5.6
May-1987,24.0,21.7,5.0,4.3,6.8,1.3,0.8,1.7,65.6,66.9,,2.7,3.5,1.0,1.3,1.3,0.4,0.2,0.1,4.8
Aug-1987,27.8,20.3,6.5,3.9,6.1,1.3,1.0,1.7,68.8,70.1,,4.5,3.9,1.4,0.7,1.4,0.3,0.3,0.1,6.3
Nov-1987,29.1,13.8,5.1,3.5,7.6,1.2,1.0,2.4,63.8,66.9,,4.2,1.9,0.8,0.8,1.8,0.2,0.3,0.4,5.1
Feb-1988,31.2,20.2,8.1,4.4,7.6,1.3,0.9,2.2,75.9,70.2,,3.7,3.8,1.5,1.0,2.1,0.4,0.2,0.2,5.9
May-1988,27.0,23.0,8.2,3.9,6.0,0.8,0.7,2.1,71.8,74.4,,4.8,4.2,1.3,1.0,1.4,0.1,0.1,0.4,6.6
Aug-1988,37.3,22.2,9.1,3.5,5.4,0.7,1.0,2.3,81.5,80.8,,4.3,4.0,1.5,0.6,1.1,0.1,0.2,0.4,6.1
Nov-1988,32.9,23.9,10.0,4.1,5.8,1.2,1.4,2.5,81.8,85.1,,3.4,3.7,1.7,0.8,1.6,0.1,0.4,0.3,5.5
Feb-1989,32.7,26.0,12.6,3.1,9.5,1.6,1.0,2.9,89.5,84.7,,3.8,3.2,2.9,0.5,2.3,0.3,0.2,0.5,6.2
May-1989,32.0,29.8,13.2,4.5,5.6,1.1,1.2,2.5,89.9,93.7,,3.9,4.1,3.3,1.1,1.0,0.2,0.3,0.4,6.7
Aug-1989,27.6,23.7,12.2,5.0,5.7,1.0,1.0,2.5,78.6,76.6,,3.0,3.5,2.0,1.2,1.1,0.2,0.2,0.4,5.3
Nov-1989,30.1,21.0,11.5,4.5,4.5,1.7,0.9,2.5,76.7,79.2,,4.2,3.1,1.8,1.1,0.8,0.4,0.1,0.2,5.6
Feb-1990,30.0,18.9,9.6,5.1,5.6,1.5,1.0,2.9,74.7,71.9,,4.5,5.6,2.3,1.8,1.0,0.2,0.2,0.3,7.7
May-1990,24.4,15.9,8.8,4.3,3.4,1.2,0.6,2.4,61.0,64.0,,4.2,4.1,2.0,1.8,0.6,0.2,0.1,0.2,6.3
