,Australia ;  Unemployed total ;,Australia ;  > Unemployed looked for full-time work ;,Australia ;  >> Unemployed looked for only full-time work ;,Australia ;  >> Unemployed looked for both full-time and part-time work ;,Australia ;  > Unemployed looked for only part-time work ;,> New South Wales ;  Unemployed total ;,> New South Wales ;  > Unemployed looked for full-time work ;,> New South Wales ;  >> Unemployed looked for only full-time work ;,> New South Wales ;  >> Unemployed looked for both full-time and part-time work ;,> New South Wales ;  > Unemployed looked for only part-time work ;,> Victoria ;  Unemployed total ;,> Victoria ;  > Unemployed looked for full-time work ;,> Victoria ;  >> Unemployed looked for only full-time work ;,> Victoria ;  >> Unemployed looked for both full-time and part-time work ;,> Victoria ;  > Unemployed looked for only part-time work ;,> Queensland ;  Unemployed total ;,> Queensland ;  > Unemployed looked for full-time work ;,> Queensland ;  >> Unemployed looked for only full-time work ;,> Queensland ;  >> Unemployed looked for both full-time and part-time work ;,> Queensland ;  > Unemployed looked for only part-time work ;,> South Australia ;  Unemployed total ;,> South Australia ;  > Unemployed looked for full-time work ;,> South Australia ;  >> Unemployed looked for only full-time work ;,> South Australia ;  >> Unemployed looked for both full-time and part-time work ;,> South Australia ;  > Unemployed looked for only part-time work ;,> Western Australia ;  Unemployed total ;,> Western Australia ;  > Unemployed looked for full-time work ;,> Western Australia ;  >> Unemployed looked for only full-time work ;,> Western Australia ;  >> Unemployed looked for both full-time and part-time work ;,> Western Australia ;  > Unemployed looked for only part-time work ;,> Tasmania ;  Unemployed total ;,> Tasmania ;  > Unemployed looked for full-time work ;,> Tasmania ;  >> Unemployed looked for only full-time work ;,> Tasmania ;  >> Unemployed looked for both full-time and part-time work ;,> Tasmania ;  > Unemployed looked for only part-time work ;,> Northern Territory ;  Unemployed total ;,> Northern Territory ;  > Unemployed looked for full-time work ;,> Northern Territory ;  >> Unemployed looked for only full-time work ;,> Northern Territory ;  >> Unemployed looked for both full-time and part-time work ;,> Northern Territory ;  > Unemployed looked for only part-time work ;,> Australian Capital Territory ;  Unemployed total ;,> Australian Capital Territory ;  > Unemployed looked for full-time work ;,> Australian Capital Territory ;  >> Unemployed looked for only full-time work ;,> Australian Capital Territory ;  >> Unemployed looked for both full-time and part-time work ;,> Australian Capital Territory ;  > Unemployed looked for only part-time work ;
Unit,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Collection Month,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Series Start,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014,Jul-2014
Series End,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021,Feb-2021
No. Obs,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Series ID,A84088035W,A84088036X,A84088038C,A84088037A,A84088039F,A84088030K,A84088031L,A84088033T,A84088032R,A84088034V,A84088070C,A84088071F,A84088073K,A84088072J,A84088074L,A84088040R,A84088041T,A84088043W,A84088042V,A84088044X,A84088065K,A84088066L,A84088068T,A84088067R,A84088069V,A84088055F,A84088056J,A84088058L,A84088057K,A84088059R,A84088045A,A84088046C,A84088048J,A84088047F,A84088049K,A84088060X,A84088061A,A84088063F,A84088062C,A84088064J,A84088050V,A84088051W,A84088053A,A84088052X,A84088054C
Jul-2014,741.7,540.6,126.2,414.4,201.1,214.7,156.5,35.5,121.0,58.2,208.1,145.0,37.7,107.2,63.2,159.4,119.4,21.8,97.6,40.0,57.8,43.5,9.8,33.7,14.3,67.4,51.8,15.1,36.7,15.7,18.0,13.8,1.4,12.4,4.2,7.4,5.4,3.1,2.3,2.0,8.8,5.3,1.8,3.5,3.5
