Month,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Australia
Nov-19,0,0,0,0,0,0,0,0,0
Dec-19,0,1,0,0,0,0,0,0,1
Jan-20,0,4,0,2,2,0,4,1,13
Feb-20,0,51,0,19,4,2,15,8,99
Mar-20,99,2772,25,983,410,87,1210,476,6062
Apr-20,8,438,4,66,23,143,190,104,976
May-20,1,66,0,9,1,1,256,34,368
Jun-20,0,132,1,9,3,0,938,15,1098
Jul-20,5,391,1,16,11,1,9751,48,10224
Aug-20,0,277,0,42,9,1,6927,15,7271
Sep-20,0,166,0,27,10,0,898,34,1135
Oct-20,2,205,6,15,29,0,154,83,494
Nov-20,2,168,23,33,61,0,0,57,344
Dec-20,1,373,20,48,18,4,42,48,554
Jan-21,0,165,28,49,17,0,66,35,360
Feb-21,0,76,6,28,20,0,31,12,173
Mar-21,5,129,4,154,42,0,3,37,374
Total Covid-19 cases till end of March 2021,123,5414,118,1500,660,239,20485,1007,29546
